id,difficulty,estimated_time,topics
P153,2100,91,graphs|dp|bitmasks
P154,1000,34,dp|strings|two_pointers
P155,1100,71,prefix_sum|graphs
P156,1500,31,prefix_sum|math
P157,1200,63,math
P158,1700,100,implementation
P159,1600,65,number_theory|prefix_sum|bitmasks
P160,1900,103,bitmasks|trees|math
P161,2100,36,math|number_theory
P162,800,104,number_theory|greedy|bitmasks
P163,1000,102,number_theory|two_pointers
P164,2000,53,trees|implementation
P165,1400,90,trees|number_theory|strings
P166,1400,68,dp|math
P167,1500,22,implementation|strings|greedy
P168,1200,81,two_pointers|strings|number_theory
P169,1600,67,implementation
P170,1800,48,prefix_sum
P171,1500,90,implementation|bitmasks|binary_search
P172,1500,26,two_pointers|number_theory
P173,1900,72,number_theory|math|two_pointers
P174,800,82,greedy|trees
P175,1200,102,trees|graphs
P176,1300,63,binary_search
P177,1500,25,binary_search|trees|graphs
P178,900,74,strings|trees
P179,1000,96,prefix_sum|dp|trees
P180,900,114,graphs
P181,2100,32,math|trees|implementation
P182,1200,69,prefix_sum|dp|two_pointers
P183,1200,36,implementation|prefix_sum
P184,1300,71,graphs|implementation
P185,1800,112,bitmasks
P186,1100,33,bitmasks
P187,1300,97,strings|implementation
P188,1500,33,implementation|two_pointers|math
P189,900,71,binary_search
P190,1300,94,dp|implementation
P191,1000,81,implementation
P192,1200,97,graphs|greedy
P193,1300,67,two_pointers|strings|dp
P194,900,115,implementation|bitmasks
P195,1300,99,math|graphs
P196,1300,17,dp|strings
P197,800,78,greedy|strings
P198,1500,40,number_theory|two_pointers
P199,1900,100,implementation
P200,1300,46,prefix_sum|graphs|number_theory
P201,1000,104,bitmasks|binary_search
P202,1700,109,implementation|greedy|prefix_sum
P203,1300,53,greedy|math
P204,1800,73,binary_search|strings|two_pointers
P205,1800,97,dp|greedy|number_theory
P206,1400,99,two_pointers|binary_search|prefix_sum
P207,1500,89,greedy|bitmasks|implementation
P208,1300,119,trees|binary_search|prefix_sum
P209,800,102,math
P210,800,73,trees
P211,800,29,bitmasks|two_pointers
P212,1100,78,bitmasks|implementation|number_theory
P213,1300,57,strings
P214,2100,93,math
P215,1300,103,trees
P216,1600,75,graphs
P217,1800,66,number_theory|prefix_sum
P218,1900,20,graphs|strings
P219,1800,65,math|dp
P220,1700,87,bitmasks
P221,1900,15,binary_search|bitmasks
P222,1200,24,two_pointers|implementation|dp
P223,1400,70,dp|greedy|math
P224,1600,100,graphs|dp|trees
P225,1100,110,prefix_sum|math|graphs
P226,1700,19,greedy|prefix_sum
P227,1500,65,bitmasks
P228,1000,112,number_theory|implementation|bitmasks
P229,2000,20,graphs
P230,1700,78,prefix_sum|graphs|math
P231,1700,71,strings
P232,1900,72,graphs|binary_search
P233,2000,60,bitmasks|math|implementation
P234,2100,17,math|graphs|greedy
P235,1900,22,prefix_sum|math
P236,800,65,binary_search|dp
P237,1800,24,bitmasks
P238,800,26,binary_search|math|two_pointers
P239,1100,77,prefix_sum|graphs
P240,900,55,math|two_pointers|dp
P241,1900,42,number_theory|dp|math
P242,1600,64,graphs
P243,1100,57,graphs|bitmasks
P244,900,39,bitmasks|two_pointers|prefix_sum
P245,1800,102,math|number_theory|prefix_sum
P246,1500,113,graphs|binary_search
P247,1800,67,math
P248,1600,38,implementation|binary_search|greedy
P249,900,63,greedy|implementation|bitmasks
P250,800,116,math|number_theory|bitmasks
